contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility
SPY260731P00638000,2026-07-23 16:34:39+00:00,638.0,0.1,0.06,0.07,0.0,0.0,2.0,286,0.4179745703124999,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.01,0.1538461538461539,0.8634106072293722,-0.1468649105188376,0.0170623064188229,6.22774184287037,0.0,637.564718495216,True,0.4407103537583649
SPY260731P00639000,2026-07-24 19:28:56+00:00,639.0,0.09,0.06,0.07,-0.029999994,-24.999996,8.0,495,0.4130918066406249,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.01,0.1538461538461539,0.8647639153911738,-0.1452987394860927,0.0170623064188229,6.22774184287037,0.0,638.564036235804,True,0.436507528650334
SPY260731P00640000,2026-07-24 19:48:58+00:00,640.0,0.07,0.06,0.07,-0.020000003,-22.222225,686.0,2555,0.4091855957031249,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.01,0.1538461538461539,0.8661172235529753,-0.14373501750991,0.0170623064188229,6.22774184287037,0.0,639.5633539763921,True,0.4323078886648715
SPY260731P00641000,2026-07-24 13:52:19+00:00,641.0,0.08,0.06,0.07,-0.04,-33.333336,25.0,264,0.405279384765625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.01,0.1538461538461539,0.8674705317147768,-0.1421737369429574,0.0170623064188229,6.22774184287037,0.0,640.5626717169803,True,0.4281113592961858
SPY260731P00642000,2026-07-20 18:46:31+00:00,642.0,0.13,0.07,0.08,0.0,0.0,3.0,382,0.407232490234375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.075,0.0099999999999999,0.1333333333333332,0.8688238398765784,-0.1406148901736663,0.0170623064188229,6.22774184287037,0.0,641.5619894575684,True,0.4307808365975879
SPY260731P00643000,2026-07-23 19:51:05+00:00,643.0,0.12,0.07,0.08,0.0,0.0,417.0,526,0.403326279296875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.075,0.0099999999999999,0.1333333333333332,0.8701771480383799,-0.1390584696260081,0.0170623064188229,6.22774184287037,0.0,642.5613071981564,True,0.4265344349150062
SPY260731P00644000,2026-07-24 13:59:31+00:00,644.0,0.09,0.07,0.08,-0.029999994,-24.999996,1.0,2076,0.399420068359375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.075,0.0099999999999999,0.1333333333333332,0.8715304562001814,-0.1375044677592738,0.0170623064188229,6.22774184287037,0.0,643.5606249387446,True,0.4222909575847238
SPY260731P00645000,2026-07-24 16:38:30+00:00,645.0,0.07,0.07,0.08,-0.049999997,-41.666664,24.0,17823,0.395513857421875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.075,0.0099999999999999,0.1333333333333332,0.8728837643619829,-0.135952877067855,0.0170623064188229,6.22774184287037,0.0,644.5599426793327,True,0.4180503301009499
SPY260731P00646000,2026-07-23 20:06:54+00:00,646.0,0.11,0.07,0.08,0.0,0.0,20.0,244,0.3916076464843749,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.075,0.0099999999999999,0.1333333333333332,0.8742370725237845,-0.1344036900810256,0.0170623064188229,6.22774184287037,0.0,645.5592604199209,True,0.4138124965843409
SPY260731P00647000,2026-07-23 17:14:37+00:00,647.0,0.13,0.07,0.08,0.0,0.0,7.0,435,0.387701435546875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.075,0.0099999999999999,0.1333333333333332,0.8755903806855859,-0.132856899362727,0.0170623064188229,6.22774184287037,0.0,646.5585781605089,True,0.4095774011555537
SPY260731P00648000,2026-07-24 18:41:35+00:00,648.0,0.1,0.08,0.09,-0.019999996,-16.666664,8.0,859,0.38867798828125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.0849999999999999,0.0099999999999999,0.1176470588235293,0.8769436888473875,-0.1313124975113528,0.0170623064188229,6.22774184287037,0.0,647.557895901097,True,0.4112770179481749
SPY260731P00649000,2026-07-23 18:48:10+00:00,649.0,0.09,0.08,0.09,-0.03999999,-30.769226,1.0,747,0.3847717773437499,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.0849999999999999,0.0099999999999999,0.1176470588235293,0.8782969970091891,-0.1297704771595375,0.0170623064188229,6.22774184287037,0.0,648.5572136416852,True,0.4069965205529555
SPY260731P00650000,2026-07-24 19:46:46+00:00,650.0,0.09,0.08,0.09,-0.049999997,-35.714283,52.0,8695,0.3808655664062499,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.0849999999999999,0.0099999999999999,0.1176470588235293,0.8796503051709905,-0.1282308309739447,0.0170623064188229,6.22774184287037,0.0,649.5565313822733,True,0.4027185284149609
