contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility
SPY260731C00644000,2026-07-06 14:47:55+00:00,644.0,109.56,93.44,96.89,0.0,0.0,1.0,100,0.6704134521484376,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,95.16499999999999,3.450000000000003,0.036252824042452614,0.8715304562001814,-0.13750446775927389,0.01706230641882293,6.22774184287037,95.36937506125537,738.93,False,
SPY260731C00645000,2026-07-24 16:48:13+00:00,645.0,97.34,92.92,95.41,4.5599976,4.9148498,1.0,185,0.6242713354492189,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,94.16499999999999,2.489999999999995,0.026442945892847607,0.8728837643619829,-0.13595287706785508,0.01706230641882293,6.22774184287037,94.37005732066723,738.93,False,
SPY260731C00646000,2026-06-10 19:37:09+00:00,646.0,86.94,108.44,111.24,0.0,0.0,1.0,32,1.3185458877563474,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,109.84,2.799999999999997,0.025491624180626338,0.8742370725237845,-0.13440369008102568,0.01706230641882293,6.22774184287037,93.37073958007909,738.93,True,1.3859173846370418
SPY260731C00647000,2026-07-17 15:37:21+00:00,647.0,99.43,90.92,93.41,0.0,0.0,2.0,1218,0.6129189099121095,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,92.16499999999999,2.489999999999995,0.027016763413443227,0.8755903806855859,-0.13285689936272704,0.01706230641882293,6.22774184287037,92.37142183949106,738.93,False,
SPY260731C00649000,2026-07-23 20:07:29+00:00,649.0,90.96,88.45,91.91,0.0,0.0,2.0,11,0.6422154919433594,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,90.18,3.4599999999999937,0.03836770902639159,0.8782969970091891,-0.12977047715953752,0.01706230641882293,6.22774184287037,90.37278635831478,738.93,False,
SPY260731C00650000,2026-07-24 13:36:32+00:00,650.0,90.14,87.93,90.43,2.8499985,3.264977,2.0,1308,0.5975382043457032,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,89.18,2.5,0.02803319129849742,0.8796503051709905,-0.12823083097394478,0.01706230641882293,6.22774184287037,89.37346861772664,738.93,False,
SPY260731C00651000,2026-07-21 17:10:47+00:00,651.0,98.51,86.46,89.91,0.0,0.0,1.0,18,0.6303747900390625,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,88.185,3.450000000000003,0.03912229971083521,0.8810036133327921,-0.12669355165505827,0.01706230641882293,6.22774184287037,88.3741508771385,738.93,False,
SPY260731C00653000,2026-05-12 17:54:49+00:00,653.0,91.66,101.79,105.14,0.0,0.0,2.0,46,1.2767980496215818,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,103.465,3.3499999999999943,0.03237809887401531,0.8837102296563951,-0.12362606458719648,0.01706230641882293,6.22774184287037,86.37551539596234,738.93,True,1.3420788983653598
SPY260731C00654000,2026-06-09 16:38:26+00:00,654.0,77.74,100.54,103.04,0.0,0.0,1.0,153,1.2451819967651363,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,101.79,2.5,0.024560369387955593,0.8850635378181967,-0.12209584240642879,0.01706230641882293,6.22774184287037,85.3761976553742,738.93,True,1.308426198907751
SPY260731C00655000,2026-07-24 16:22:10+00:00,655.0,88.81,82.94,85.44,3.199997,3.7378776,1.0,236,0.5698285205078125,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,84.19,2.5,0.029694738092410026,0.8864168459799981,-0.12056795822837565,0.01706230641882293,6.22774184287037,84.37687991478606,738.93,False,
