contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility,previous_mid_price,passes_monotonicity
SPY260821P00689000,2026-07-20 19:54:04+00:00,689.0,2.91,2.31,2.34,0.0,0.0,292.0,1320,0.2117388397216796,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.325,0.0299999999999998,0.0129032258064515,0.9254291983591686,-0.0774976508574734,0.085639129930175,31.25828242451389,0.0,686.6438235012757,True,0.2208091942114903,2.2649999999999997,True
SPY260821P00690000,2026-07-21 13:30:04+00:00,690.0,2.31,2.37,2.39,-0.71000004,-23.509933,1.0,24480,0.2100909069824218,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.38,0.02,0.0084033613445378,0.9267723466877016,-0.0760473242798269,0.085639129930175,31.25828242451389,0.0,687.6404037966331,True,0.2193219573404617,2.325,True
SPY260821P00691000,2026-07-20 20:01:58+00:00,691.0,2.99,2.41,2.42,0.0,0.0,742.0,2066,0.207893663330078,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.415,0.0099999999999997,0.0041407867494823,0.9281154950162344,-0.0745990981034621,0.085639129930175,31.25828242451389,0.0,688.6369840919906,True,0.2172862187308904,2.38,True
SPY260821P00692000,2026-07-20 19:34:01+00:00,692.0,3.01,2.49,2.51,0.0,0.0,242.0,1440,0.2071612487792968,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.5,0.0199999999999995,0.0079999999999998,0.9294586433447672,-0.0731529662534624,0.085639129930175,31.25828242451389,0.0,689.633564387348,True,0.2164731667188656,2.415,True
SPY260821P00693000,2026-07-20 20:14:03+00:00,693.0,3.25,2.55,2.57,0.0,0.0,282.0,1487,0.2056353851318359,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.5599999999999996,0.02,0.0078125,0.9308017916733,-0.0717089226812288,0.085639129930175,31.25828242451389,0.0,690.6301446827055,True,0.2149822080507426,2.5,True
SPY260821P00694000,2026-07-20 19:59:01+00:00,694.0,3.26,2.47,2.51,0.0,0.0,460.0,1330,0.2012408978271484,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.49,0.0399999999999995,0.0160642570281122,0.932144940001833,-0.0702669613643275,0.085639129930175,31.25828242451389,0.0,691.6267249780628,True,0.2103018712532211,2.5599999999999996,False
SPY260821P00695000,2026-07-21 13:31:32+00:00,695.0,2.71,2.67,2.69,-0.53999996,-16.615383,18.0,14712,0.2024615887451171,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.6799999999999997,0.02,0.0074626865671641,0.933488088330366,-0.0688270763063398,0.085639129930175,31.25828242451389,0.0,692.6233052734203,True,0.2118714015167138,2.49,True
SPY260821P00696000,2026-07-20 19:28:16+00:00,696.0,3.48,2.74,2.76,0.0,0.0,228.0,3873,0.2009967596435546,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.75,0.0199999999999995,0.0072727272727271,0.9348312366588988,-0.0673892615367123,0.085639129930175,31.25828242451389,0.0,693.6198855687777,True,0.210484118821015,2.6799999999999997,True
SPY260821P00697000,2026-07-20 19:58:36+00:00,697.0,3.51,2.82,2.84,0.0,0.0,156.0,969,0.1997455514526367,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.83,0.02,0.0070671378091872,0.9361743849874318,-0.0659535111106081,0.085639129930175,31.25828242451389,0.0,694.6164658641352,True,0.2092740894768026,2.75,True
SPY260821P00698000,2026-07-20 19:59:15+00:00,698.0,3.66,2.9,2.92,0.0,0.0,70.0,1737,0.1984333087158203,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.91,0.02,0.0068728522336769,0.9375175333159648,-0.0645198191087595,0.085639129930175,31.25828242451389,0.0,695.6130461594927,True,0.2080073155325827,2.83,True
SPY260821P00699000,2026-07-20 19:58:13+00:00,699.0,3.69,2.98,3.0,0.0,0.0,417.0,1319,0.1970600314331054,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.99,0.02,0.0066889632107023,0.9388606816444977,-0.0630881796373218,0.085639129930175,31.25828242451389,0.0,696.6096264548501,True,0.2066851552638511,2.91,True
SPY260821P00700000,2026-07-21 13:31:23+00:00,700.0,3.05,3.06,3.09,-0.80999994,-20.984455,13.0,42616,0.1958393405151367,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,3.075,0.0299999999999998,0.0097560975609755,0.9402038299730304,-0.0616585868277274,0.085639129930175,31.25828242451389,0.0,697.6062067502075,True,0.205415708715415,2.99,True
SPY260821P00701000,2026-07-20 20:01:58+00:00,701.0,3.83,3.15,3.17,0.0,0.0,422.0,1986,0.194343994140625,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,3.16,0.02,0.0063291139240506,0.9415469783015632,-0.060231034836542,0.085639129930175,31.25828242451389,0.0,698.6027870455649,True,0.2040892885198714,3.075,True
SPY260821P00702000,2026-07-20 19:21:22+00:00,702.0,4.05,3.22,3.24,0.0,0.0,132.0,3116,0.1926350268554687,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,3.2300000000000004,0.02,0.0061919504643962,0.9428901266300964,-0.0588055178453208,0.085639129930175,31.25828242451389,0.0,699.5993673409224,True,0.2023980763297287,3.16,True
SPY260821P00703000,2026-07-20 19:17:44+00:00,703.0,4.19,3.32,3.35,0.0,0.0,329.0,1368,0.1916279568481445,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,3.335,0.0300000000000002,0.0089955022488756,0.9442332749586292,-0.0573820300604671,0.085639129930175,31.25828242451389,0.0,700.5959476362798,True,0.201371353932527,3.2300000000000004,True
