contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness
SPY260821C00667000,2026-06-23 14:27:54+00:00,667.0,81.31,80.79,84.13,0.0,0.0,1.0,2,0.37500625,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,82.46000000000001,3.339999999999989,0.04050448702401151,0.8958799351314447,-0.10994887595550835
SPY260821C00668000,2026-07-20 19:50:06+00:00,668.0,78.97,79.95,82.69,0.0,0.0,2.0,9,0.3628603753662109,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,81.32,2.739999999999995,0.03369404820462365,0.8972230834599776,-0.10845074833448637
SPY260821C00669000,2026-07-13 18:30:07+00:00,669.0,85.34,78.94,81.72,0.0,0.0,1.0,3,0.3600527862548828,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,80.33,2.780000000000001,0.03460724511390516,0.8985662317885106,-0.10695486174290354
SPY260821C00670000,2026-07-20 14:58:40+00:00,670.0,78.87,79.02,81.79,0.0,0.0,1.0,1741,0.3772340109252929,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,80.405,2.7700000000000102,0.034450593868540644,0.8999093801170435,-0.10546120948612027
SPY260821C00671000,2026-07-13 15:49:32+00:00,671.0,85.26,77.01,79.79,0.0,0.0,1.0,4,0.3546207116699218,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,78.4,2.780000000000001,0.0354591836734694,0.9012525284455764,-0.10396978489945023
SPY260821C00672000,2026-07-15 17:24:46+00:00,672.0,84.51,76.05,78.81,0.0,0.0,1.0,4,0.3516300189208984,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,77.43,2.760000000000005,0.03564509879891521,0.9025956767741092,-0.1024805813479825
SPY260821C00673000,2026-07-16 18:04:35+00:00,673.0,82.45,75.04,77.79,0.0,0.0,30.0,33,0.3478153598022461,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,76.415,2.75,0.035987698750245364,0.9039388251026421,-0.10099359222640426
SPY260821C00674000,2026-07-14 19:39:20+00:00,674.0,82.65,74.03,76.89,0.0,0.0,1.0,40,0.3463200134277343,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,75.46000000000001,2.8599999999999994,0.0379008746355685,0.905281973431175,-0.09950881095882505
SPY260821C00675000,2026-07-17 18:35:49+00:00,675.0,73.57,73.66,76.39,0.0,0.0,3.0,4959,0.3523013989257812,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,75.025,2.730000000000004,0.03638787070976346,0.906625121759708,-0.09802623099860215
SPY260821C00676000,2026-07-20 17:51:54+00:00,676.0,73.04,72.17,74.98,0.0,0.0,2.0,6,0.3411320770263671,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,73.575,2.8100000000000023,0.03819232076112813,0.9079682700882409,-0.09654584582816791
SPY260821C00677000,2026-07-20 19:03:57+00:00,677.0,70.15,71.24,74.03,0.0,0.0,2.0,5,0.3386296606445312,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,72.63499999999999,2.7900000000000063,0.038411234253459166,0.9093114184167738,-0.09506764895885703
SPY260821C00678000,2026-07-17 19:37:42+00:00,678.0,70.2,70.27,73.06,0.0,0.0,1.0,23,0.3357305197143554,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,71.66499999999999,2.7900000000000063,0.038931137933440406,0.9106545667453066,-0.09359163393073647
SPY260821C00679000,2026-07-07 14:39:11+00:00,679.0,73.33,69.83,72.67,0.0,0.0,1.0,5,0.3433903552246093,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,71.25,2.8400000000000034,0.03985964912280707,0.9119977150738395,-0.09211779431243593
SPY260821C00680000,2026-07-20 19:36:14+00:00,680.0,67.57,68.86,71.37,0.0,0.0,6.0,2385,0.3344487942504882,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,70.11500000000001,2.510000000000005,0.035798331312843254,0.9133408634023724,-0.09064612370097969
SPY260821C00682000,2026-07-07 16:42:17+00:00,682.0,72.6,66.29,69.29,0.0,0.0,1.0,12,0.3259955096435546,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,67.79,3.0,0.04425431479569258,0.9160271600594383,-0.08770926402766989
SPY260821C00683000,2026-07-15 14:22:59+00:00,683.0,78.23,65.88,69.39,0.0,0.0,2.0,6,0.3417119052124023,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,67.63499999999999,3.510000000000005,0.05189620758483042,0.9173703083879712,-0.08624406230034194
SPY260821C00684000,2026-07-08 15:40:15+00:00,684.0,63.19,65.07,67.95,0.0,0.0,2.0,18,0.3305425833129882,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,66.50999999999999,2.8800000000000097,0.043301759133964966,0.9187134567165041,-0.08478100424858157
SPY260821C00685000,2026-07-20 19:13:06+00:00,685.0,62.46,63.98,67.4,0.0,0.0,11.0,1677,0.3346318978881836,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,65.69,3.420000000000009,0.05206271883087241,0.920056605045037,-0.08332008360890675
SPY260821C00686000,2026-07-02 13:59:27+00:00,686.0,71.12,62.66,65.48,0.0,0.0,1.0,3,0.3152839468383788,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,64.07,2.8200000000000074,0.044014359294521736,0.9213997533735698,-0.08186129414524684
SPY260821C00687000,2026-07-17 15:00:41+00:00,687.0,64.2,62.22,64.68,0.0,0.0,1.0,11,0.3151923950195311,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,63.45,2.460000000000008,0.03877068557919634,0.9227429017021027,-0.08040462964878274
SPY260821C00688000,2026-07-16 13:40:01+00:00,688.0,68.78,61.99,63.68,0.0,0.0,1.0,3,0.3116218740844726,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,62.835,1.6899999999999977,0.02689583830667618,0.9240860500306356,-0.07895008393778843
SPY260821C00689000,2026-07-14 19:35:14+00:00,689.0,68.3,60.33,63.6,0.0,0.0,1.0,34,0.323401541442871,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,61.965,3.270000000000003,0.0527717259743404,0.9254291983591686,-0.07749765085747343
SPY260821C00690000,2026-07-20 18:56:13+00:00,690.0,58.38,60.2,60.34,0.0,0.0,28.0,5595,0.2811961529541015,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,60.27,0.14000000000000057,0.0023228803716608686,0.9267723466877015,-0.07604732427982695
SPY260821C00691000,2026-06-30 13:31:08+00:00,691.0,59.65,59.82,61.94,0.0,0.0,6.0,3,0.3215399877929687,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,60.879999999999995,2.1199999999999974,0.03482260183968459,0.9281154950162344,-0.07459909810346213
SPY260821C00692000,2026-07-15 16:39:43+00:00,692.0,63.99,57.4,61.0,0.0,0.0,1.0,12,0.3187934332275389,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,59.2,3.6000000000000014,0.060810810810810835,0.9294586433447672,-0.07315296625346249
SPY260821C00693000,2026-07-16 19:39:22+00:00,693.0,61.78,56.09,58.88,0.0,0.0,10.0,107,0.2969735830688476,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,57.485,2.789999999999999,0.048534400278333466,0.9308017916733001,-0.07170892268122883
SPY260821C00694000,2026-07-16 19:30:57+00:00,694.0,61.56,55.02,58.32,0.0,0.0,2.0,10,0.3004830694580078,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,56.67,3.299999999999997,0.05823186871360503,0.932144940001833,-0.07026696136432758
SPY260821C00695000,2026-07-20 19:07:58+00:00,695.0,53.5,56.16,57.78,0.0,0.0,3.0,3194,0.3041146249389648,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,56.97,1.6200000000000045,0.028436018957346054,0.933488088330366,-0.06882707630633986
SPY260821C00696000,2026-07-17 19:54:37+00:00,696.0,54.81,54.39,56.07,0.0,0.0,4.0,153,0.2891306439208984,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,55.230000000000004,1.6799999999999997,0.030418250950570335,0.9348312366588989,-0.06738926153671236
SPY260821C00697000,2026-07-16 18:36:54+00:00,697.0,59.87,53.87,55.84,0.0,0.0,1.0,147,0.297583928527832,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,54.855000000000004,1.970000000000006,0.03591286117947326,0.9361743849874318,-0.06595351111060814
